Name,Street Address,Postal Code,City,Country,lat,lng
Lett'us Roll,"335 Yonge Street, World Food Market",M5G 1S4,Toronto,Canada,,
Chandni Chowk Restaurant,1426 Gerrard Street E,M4L 1Z6,Toronto,Canada,,
Stratus Restaurant,"79 Wellington Street W, TD South Tower, 36th Fl.",M5K 1J5,Toronto,Canada,,
Kothur Indian Cuisine,649 Yonge Street,M4Y 2A6,Toronto,Canada,,
Butter Chicken Roti,"201 King Street E, Unit 3",M5A 1J5,Toronto,Canada,,
My Dosa Place,406 Queen Street W,M5V 2A6,Toronto,Canada,,
Chaska Indian Street Food Obsession,2325 Matheson Blvd E,L4W 5B3,Mississauga,Canada,,
Marigold Indian Bistro,552 Mount Pleasant Road,M4S 2M6,Toronto,Canada,,
Rajdhani Sweets & Restaurant,2658 Islington Avenue,M9V 2X5,Etobicoke,Canada,,
Naans & More,795 Bathurst St,M5S 1Z5,Toronto,Canada,,
ADDA Bengali Kitchen and Catering,"3342 Danforth Avenue, Unit 1",M1L 1C8,Toronto,Canada,,
King Place,"236 Sherbourne Street, Unit 1",M5A 2R7,Toronto,Canada,,
Taste of Tamil Nadu,883 Wilson Avenue,M3K 1E6,North York,Canada,,
Naanspot- Modern Indian Cuisine,310 College Street,M5T 1S2,Toronto,Canada,,
Curry Twist Restaurant,3034 Dundas Street W,M6P 1Z3,Toronto,Canada,,
Delhi Touch,3450 Bathurst Street,M6A 2C4,Toronto,Canada,,
Suruthi's Take Out & Catering,585 Parliament Street,M4X 1P9,Toronto,Canada,,
Bar Goa,36 Toronto Street,M5C 2C5,Toronto,Canada,,
Kothur Indian Cuisine,2403 LakeShore Blvd West,M8V 1P7,Toronto,Canada,,
Samosa and Sweet Factory,1850 Albion Road,M9W 6J9,Etobicoke,Canada,,
Indian Biriyani House,181 Dundas St W,M5G 1C7,Toronto,Canada,,
Durbar Indian Cuisine,2469 Bloor Street W,M6S 1P7,Toronto,Canada,,
Chutneys Fine Indian Cuisine,3077 Bloor Street W,M8X 1C7,Etobicoke,Canada,,
Indian Roti House,471 Church Street,M4Y 2C5,Toronto,Canada,,
Lobongo Fine Dining,"3454 Danforth Avenue, Scarborough",M1L 1E3,Scarborough,Canada,,
Kadak,2088 Yonge St,M4S 2A3,Toronto,Canada,,
Desi Spice,"25 Woodbine Downs Boulevard, Building C",M9W 6J1,Toronto,Canada,,
Suksi Biryani House,15 Hayden Street,M4Y 2P2,Toronto,Canada,,
Swades Indian Cuisine,"208 Queens Quay West, Harbourfront centre",M5J 2Y5,Toronto,Canada,,
Kashmir Curry and Biryani Restaurant,1530 Albion Road,M9V 1B4,Etobicoke,Canada,,
Maurya East Indian Roti,2481 Lakeshore Boulevard W,M8V 1C5,Etobicoke,Canada,,
Ambiyan on Yonge,"1560 Yonge Street, Unit 114",M4T 2S9,Toronto,Canada,,
My Dosa Place,12 Queens Quay W,M5J 2V7,Toronto,Canada,,
Sultan of Samosas,1677 O'Connor Drive,M4A 1W5,Toronto,Canada,,
Delhiites,"717 Queen Street E, Unit 1-2",M4M 1H1,Toronto,Canada,,
Indian Sweet & Samosa,18-2011 Lawrence Avenue W,M9N 1H4,Toronto,Canada,,
Anjappar Chettinad Restaurant,"3090 Eglinton Avenue E, Scarborough",M1J 2H1,Scarborough,Canada,,
IndiaWaale,"3040 Don Mills Road E, Unit 4B",M2J 3C1,North York,Canada,,
Bombay On the Lake,3007 Lake Shore Boulevard W,M8V 1K2,Etobicoke,Canada,,
T|Bar,"Chelsea Hotel, 33 Gerrard Street W",M5G 1Z4,Toronto,Canada,,
Feast of Dilli,378 Browns Line,M8W 3T7,Toronto,Canada,,
Kalyug Cocktail Bar,885 Dundas Street W,M6J 1V9,Toronto,Canada,,
Aroma Indian Bistro,349 Marlee Avenue,M6B 3H9,Toronto,Canada,,
Tannys Kitchen,Toronto,M5A 0C1,Toronto,Canada,,
Sweet Mahal,"680 Rexdale Boulevard, Unit 9",M9W 0B5,Toronto,Canada,,
Butter Chicken Factory,560 Parliament St,M4X 1P8,Toronto,Canada,,
Laziz Curry Kitchen,151 Dundas St E,M5B 1E4,Toronto,Canada,,
Savera Indian Cuisine,815 Saint Clair Avenue W,M6C 1B9,Toronto,Canada,,
The Famous Indian Cuisine,1410 Gerrard Street E,M4L 1Z4,Toronto,Canada,,
My Roti Place,406 Queen Street W,M5V 2A6,Toronto,Canada,,
Koshaa Fine Indian Cuisine,2314 Lake Shore Blvd W,M8V 1B5,Toronto,Canada,,
Premium Sweets,"107 Lebovic Avenue, Unit 15-18",M1L 4W1,Toronto,Canada,,
Momo Cafe & Zomsa Bar,1498 Queen Street W,M6R 1A4,Toronto,Canada,,
Not Just Butter Chicken,1307 Danforth Avenue,M4J 1M8,Toronto,Canada,,
Choice Indian Restaurant,"5150 Dixie Road, Unit 4",L1W 1B2,Mississauga,Canada,,
Oh Bombay,21 Grenville Street,M4Y 1A1,Toronto,Canada,,
Sri Rameshwaram Cafe,"133 Manville Road, Unit 20",M1L 4J7,Toronto,Canada,,
SpiceBros,3353 Bloor St W,M8X 1E9,Toronto,Canada,,
Subwala,545 Keele Street,M6N 3E4,Toronto,Canada,,
Maurya East Indian Roti,150 E Liberty Street,M6K 3R5,Toronto,Canada,,
Hawker,291 Augusta Avenue,M5T 2M2,Toronto,Canada,,
Mayur Fine Indian Cuisine,"80 Ellesmere Road, Units 5 & 6",M1R 4C2,Toronto,Canada,,
Charminar Indian Cuisine,"5023 Spectrum Way, Unit B2",L4W 5N6,Mississauga,Canada,,
Kerala Curry House,5120 Dixie Road,L4W 4K2,Mississauga,Canada,,
The Chaat Ter Box,"127 Westmore Drive, Unit 109",M9V 3Y6,Toronto,Canada,,
Fusion Kitchen,2344 Danforth Avenue,M4C 1K7,Toronto,Canada,,
Friends Butter Chicken,657 Queen Street W,M6J 1E6,Toronto,Canada,,
Ruchy,1370 St Clair Avenue W,M6E 1C4,Toronto,Canada,,
Bhk Roll,444 Yonge Street,M5G 2B3,Toronto,Canada,,
Nawab Express On Avenue,1753 Avenue Road,M5M 3Y8,Toronto,Canada,,
Charminar Indian Cuisine,"925 Warden Avenue, Unit 2",M1L 4C5,Scarborough,Canada,,
My Roti Place,12 Queens Quay W,M5J 2V7,Toronto,Canada,,
My Roti Place,810 Bloor Street W,M6G 1L9,Toronto,Canada,,
IST Snack Bar,1263 Queen Street W,M6K 1L4,Toronto,Canada,,
Little South,8 - 5165 Dixie Road,L4W 4G1,Mississauga,Canada,,
Indilicious,3358 Dundas Street W,M6P 2A4,Toronto,Canada,,
Krave Indian,"6150 Hwy 7, Unit 4",L4H 0R2,Vaughan,Canada,,
6ixTriangles,127 Jefferson Avenue,M6K 3E4,Toronto,Canada,,
Sizzler Kabab,381 Spadina Avenue,M5T 2G6,Toronto,Canada,,
Indo-Junction,20 Lockport Avenue,M8Z 2R7,Toronto,Canada,,
Andhra Bhavan,2598 Birchmount Road,M1T 3H1,Toronto,Canada,,
Mother India,2542 Saint Clair Avenue W,M6N 1L7,Toronto,Canada,,
North of Bombay,2996 Dundas Street W,M6P 1Z3,Toronto,Canada,,
My Roti Place,901 King Street W,M5V 3H5,Toronto,Canada,,
Bombay Frankies,197 N Queen Street,M9C 1A7,Etobicoke,Canada,,
Mango Mirchi,99 Dundas St E,L5A 1W7,Mississauga,Canada,,
Bowl of Karma,1036 Kingston Road,M4E 1T4,Toronto,Canada,,
Kairali - Taste of Kerala,1210 Kennedy Road,M1P 2L1,Toronto,Canada,,
Hyderabad Cafe,2606 Eglinton Avenue E,M1K 2R9,Toronto,Canada,,
Hopper Hut,880 Ellesmere Road,M1P 2W6,Scarborough,Canada,,
33’s Delights,"344 Queen Street E, Unit 1",M5A 1S8,Toronto,Canada,,
Karahi Point,2642 Islington Avenue,M9V 2X5,Etobicoke,Canada,,
Godavari Toronto,795 Markham Rd,M1H 2Y2,Toronto,Canada,,
Exotic Indian Cuisine,1850 Albion Road,M9W 6J9,Etobicoke,Canada,,
